City,Compounded_polarity
Chennai,7.096
Chennai,5.859
Chennai,3.612
Chennai,4.995
Chennai,7.156
Chennai,-5.067
Chennai,5.574
Chennai,-2.263
Chennai,4.588
Chennai,-5.743
Chennai,8.399
Chennai,5.719
Chennai,5.994
Chennai,-5.743
Chennai,-6.808
Chennai,5.994
Chennai,8.36
Chennai,8.718
Chennai,-2.263
Chennai,5.994
Chennai,4.912
Chennai,-5.419
Chennai,6.24
Chennai,1.695
Chennai,-3.4
Chennai,4.321
Chennai,5.994
Chennai,-3.4
Chennai,3.612
Chennai,6.58
Chennai,8.36
Chennai,-6.114
Chennai,3.612
Chennai,-1.779
Chennai,6.841
Chennai,5.719
Chennai,3.612
Chennai,6.24
Chennai,-5.743
Chennai,4.215
Chennai,8.72
Chennai,8.926
Chennai,-2.263
Chennai,-3.818
Chennai,4.215
Chennai,-4.404
Chennai,3.786
Chennai,3.578
Chennai,3.612
Chennai,6.369
Chennai,4.215
Chennai,5.859
Chennai,5.267
Chennai,1.28
Chennai,5.994
Chennai,-1.28
Chennai,6.361
Chennai,4.389
Chennai,4.019
Chennai,-4.019
Chennai,-1.531
Chennai,4.926
Chennai,4.215
Chennai,5.267
Chennai,5.994
Chennai,-5.267
Chennai,-2.96
Chennai,1.298
Chennai,4.404
Chennai,8.673
Chennai,4.404
Chennai,5.267
Chennai,7.639
Chennai,6.486
Chennai,4.939
Chennai,7.256
Chennai,-4.404
Chennai,4.545
Chennai,-3.4
Chennai,4.995
Chennai,2.023
Chennai,2.732
Chennai,7.346
Chennai,5.859
Chennai,5.994
Chennai,-4.404
Chennai,6.095
Chennai,-5.994
Chennai,2.96
Chennai,5.994
Chennai,-7.506
Chennai,8.91
Chennai,8.074
Chennai,-2.425
Chennai,-3.4
Chennai,4.939
Chennai,0.772
Chennai,5.719
Chennai,-3.4
Chennai,-4.767
Chennai,2.732
Chennai,2.96
Chennai,8.217
Chennai,-1.531
Chennai,-4.522
Chennai,6.884
Chennai,-1.725
Chennai,4.939
Chennai,2.023
Chennai,7.906
Chennai,4.939
Chennai,9.15
Chennai,-3.182
Chennai,-5.696
Chennai,0.314
Chennai,7.906
Chennai,-1.511
Chennai,5.994
Chennai,-7.351
Chennai,5.859
Chennai,-0.258
Chennai,7.346
Chennai,4.588
Chennai,4.391
Chennai,5.859
Chennai,7.862
Chennai,4.522
Chennai,6.884
Chennai,3.4
Chennai,3.4
Chennai,5.994
Chennai,7.964
Chennai,6.103
Chennai,7.964
Chennai,4.588
Chennai,-4.404
Chennai,5.859
Chennai,8.718
Chennai,-3.4
Chennai,-4.404
Chennai,3.612
Chennai,5.267
Chennai,5.994
Chennai,3.612
Chennai,4.404
Chennai,6.801
Chennai,-3.4
Chennai,-3.4
Chennai,5.106
Chennai,6.369
Chennai,-6.486
Chennai,-3.804
Chennai,8.834
Chennai,-5.448
Chennai,7.43
Chennai,7.901
Chennai,4.767
Chennai,8.057
Chennai,6.467
Chennai,0.276
Chennai,0.258
Chennai,-1.779
Chennai,5.267
Chennai,8.345
Chennai,9.325
Chennai,8.519
Chennai,5.696
Chennai,8.316
Chennai,-5.267
Chennai,-5.448
Chennai,3.4
Chennai,5.994
