City,Compounded_polarity
Chennai,4.995
Chennai,6.841
Chennai,1.28
Chennai,8.217
Chennai,4.391
Chennai,-1.779
Chennai,8.345
Chennai,8.519
Chennai,3.4
Chennai,5.972
Chennai,8.402
Chennai,9.062
Chennai,9.524
Chennai,8.679
Chennai,7.351
Chennai,5.994
Chennai,1.779
Chennai,-2.96
Chennai,2.235
Chennai,6.58
Chennai,9.231
Chennai,9.065
Chennai,-4.168
Chennai,7.578
Chennai,7.644
Chennai,4.648
Chennai,-4.71
Chennai,8.176
Chennai,8.122
Chennai,5.719
Chennai,8.625
Chennai,5.719
Chennai,5.994
Chennai,7.783
Chennai,8.388
Chennai,6.705
Chennai,8.977
Chennai,7.783
Chennai,7.184
Chennai,3.612
Chennai,5.994
Chennai,5.994
Chennai,7.43
Chennai,9.448
Chennai,3.4
Chennai,7.783
Chennai,8.225
Chennai,8.442
Chennai,5.994
Chennai,6.103
Chennai,8.858
Chennai,6.239
Chennai,6.114
Chennai,5.994
Chennai,7.717
Chennai,1.531
Chennai,0.516
Chennai,3.182
Chennai,8.834
Chennai,0.516
Chennai,5.267
Chennai,8.402
Chennai,2.732
Chennai,5.719
Chennai,4.215
Chennai,3.4
Chennai,5.972
Chennai,7.432
Chennai,5.859
Chennai,9.579
Chennai,-5.106
Chennai,7.469
Chennai,8.225
Chennai,3.853
Chennai,9.432
Chennai,-7.677
Chennai,5.719
Chennai,2.96
Chennai,9.26
Chennai,6.981
Chennai,7.003
Chennai,8.176
Chennai,5.719
Chennai,4.019
Chennai,6.36
Chennai,6.777
Chennai,5.719
Chennai,1.053
Chennai,7.125
Chennai,7.65
Chennai,8.36
Chennai,9.678
Chennai,5.994
Chennai,5.994
Chennai,6.688
Chennai,6.688
Chennai,6.777
Chennai,4.588
Chennai,1.779
Chennai,4.995
Chennai,5.08
Chennai,5.994
Chennai,6.239
Chennai,-5.267
Chennai,6.115
Chennai,8.774
Chennai,8.176
Chennai,5.994
Chennai,5.719
Chennai,6.115
Chennai,5.267
Chennai,5.994
Chennai,3.818
Chennai,6.077
Chennai,8.074
Chennai,5.994
Chennai,5.267
Chennai,5.859
Chennai,6.841
Chennai,6.115
Chennai,-2.023
Chennai,-7.329
Chennai,2.023
Chennai,1.69
Chennai,7.65
Chennai,4.215
Chennai,8.591
Chennai,3.919
Chennai,-3.4
Chennai,6.369
Chennai,6.808
Chennai,8.507
Chennai,5.106
Chennai,8.271
Chennai,-3.4
Chennai,5.994
Chennai,6.103
Chennai,5.267
Chennai,2.732
Chennai,5.267
Chennai,8.658
Chennai,4.019
Chennai,5.719
Chennai,5.994
Chennai,8.176
Chennai,8.507
Chennai,5.859
Chennai,-3.4
Chennai,-2.263
Chennai,9.678
Chennai,3.612
Chennai,8.402
Chennai,2.235
Chennai,5.267
Chennai,6.249
Chennai,5.994
Chennai,5.093
Chennai,8.807
Chennai,5.859
Chennai,8.807
Chennai,8.807
Chennai,5.423
Chennai,0.772
Chennai,8.881
Chennai,8.442
Chennai,4.019
Chennai,3
Chennai,8.779
Chennai,5.859
Chennai,6.705
Chennai,4.019
Chennai,6.531
Chennai,9.46
Chennai,5.267
Chennai,5.719
Chennai,5.859
Chennai,5.707
Kolkata,8.402
Kolkata,6.114
Kolkata,3.818
Kolkata,5.106
Kolkata,6.006
Kolkata,4.574
Kolkata,9.3
Kolkata,-2.168
Kolkata,2.924
Kolkata,8.75
Kolkata,8.126
Kolkata,8.074
Kolkata,2.235
Kolkata,7.351
Kolkata,8.356
Kolkata,5.994
Kolkata,5.859
Kolkata,9.286
Kolkata,8.225
Kolkata,8.689
Kolkata,7.845
Kolkata,5.859
Kolkata,-2.96
Kolkata,5.994
Kolkata,4.215
Kolkata,9.056
Kolkata,7.43
Kolkata,8.807
Kolkata,8.591
Kolkata,4.588
Kolkata,4.019
Kolkata,8.074
Kolkata,3.4
Kolkata,5.719
Kolkata,5.562
Kolkata,5.994
Kolkata,8.074
Kolkata,5.423
Kolkata,2.96
Kolkata,8.271
Kolkata,5.423
Kolkata,5.719
Kolkata,8.217
Kolkata,-6.757
Kolkata,3.818
Kolkata,9.678
Kolkata,6.103
Kolkata,9.098
Kolkata,1.69
Kolkata,8.402
Kolkata,8.881
Kolkata,6.531
Kolkata,6.369
Kolkata,7.65
Kolkata,8.582
Kolkata,5.719
Kolkata,5.869
Kolkata,8.271
Kolkata,2.023
Kolkata,5.994
Kolkata,6.114
Kolkata,6.705
Kolkata,6.239
Kolkata,-3.818
Kolkata,8.957
Kolkata,5.994
Kolkata,7.154
Kolkata,-1.027
Kolkata,4.019
Kolkata,9.661
Mumbai,1.833
Mumbai,2.5
Mumbai,3.561
Mumbai,3.561
Mumbai,5.267
Mumbai,6.808
Mumbai,0.772
Mumbai,0.772
Mumbai,7.096
Mumbai,3.919
Mumbai,5.423
Mumbai,8.217
Mumbai,2.96
Mumbai,8.934
Mumbai,4.588
Mumbai,0.772
Mumbai,4.215
Mumbai,2.235
Mumbai,4.215
Mumbai,3.553
Mumbai,-3.4
Mumbai,3.4
Mumbai,7.345
Mumbai,-4.939
Mumbai,0.772
Mumbai,-2.96
Mumbai,8.225
Mumbai,5.719
Mumbai,7.177
Mumbai,9.153
Mumbai,5.719
Mumbai,8.402
Mumbai,-3.089
Mumbai,5.719
Mumbai,7.906
Mumbai,4.588
Mumbai,6.739
Mumbai,7.644
Mumbai,-2.168
Mumbai,9.153
Mumbai,2.732
