,Player,Translated,Compounded_polarity,Sentiment
14,MS Dhoni,"IPL FINAL: Sunrisers to be in front of Dhoni's fanciers, toss in a while
# IPL2018
# IPL2018Final https://t.co/kNPL8HuOpg",0.0,Neutral
26,MS Dhoni,"RT @ibeingdevil__: Salman Khan - Dhoni &amp; ABD are my favourite players.

#CSKvsSRH #IPL2018Final #WhistlePodu",0.0,Neutral
48,MS Dhoni,"RT @Iftykhan15: l Like Dhoni A Lot - @BeingSalmanKhan 
#IPL2018Final https://t.co/Vw524lbW6l",3.612,Positive
49,MS Dhoni,RT @Rishi_INC: Dhoni is still in the limelight for the third time this time Dhoni's team is winning again. # IPL2018Final,5.2669999999999995,Positive
61,MS Dhoni,It is Wankhade stadium in Mumbai not Chennai but crowd is soughting #CSK #CSK ..... 😍😍😍 we love Dhoni .. #CSKvsSRH #IPL2018Final,7.7829999999999995,Positive
75,MS Dhoni,"@msdhoni Hater's Andaru Silent ga Underground Ki velthunnaru.
Debba adhurs kadaaa.
#IPL2018Final",0.0,Neutral
103,MS Dhoni,RT @Kanatunga: #Jadeja #Dhoni #IPL2018Final #CSKvSRH #SRHvCSK #SRH https://t.co/4Crx6WvBTd,0.0,Neutral
111,MS Dhoni,"# IPL2018Final
@msdhoni's CSK consistently sees the World Winner Australia team winning the World Cup.
@StarSportsIndia",8.02,Positive
116,MS Dhoni,"My Heart is beating.... MSD MSD 

#IPL2018Final #Dhoni #CSKvSRH @IPL",0.0,Neutral
123,MS Dhoni,This game is starting to feel like a build up for @msdhoni to come in and do what he does best #IPL2018Final,7.7170000000000005,Positive
125,MS Dhoni,RT @SabinaLamba: #Salmankhan is all praise for @msdhoni . He is so calm and cool. He is the best captain ever. In the commentary box @StarP…,9.239,Positive
129,MS Dhoni,"Dhoni is winning it for CSK as always
#IPL2018Final 
#CSKvSRH",5.2669999999999995,Positive
139,MS Dhoni,BE READY FOR 4TH ATTEMPT GUYS😎😎#CSKvsSRH  #IPL2018Final ts 👏👏👏 @ChennaiIPL #Dhoni #WhistlePodu #WhistlePoduArmy… https://t.co/24XVIK851A,4.995,Positive
158,MS Dhoni,"RT @TrollSKHaters: ""He @msdhoni is so cool"".- @BeingSalmanKhan

 #IPLFinal2018 #IPL2018Final #CSKvSRH #CSKvsSRH #SalmanKhan https://t.co/28…",0.0,Neutral
178,MS Dhoni,"RT @Ajaychairman: At the toss today:

Manjrekar: You called heads
Dhoni: No, he called tails.
Manjrekar: Yes, you called heads.
Dhoni: No,…",1.28,Positive
198,MS Dhoni,"#IPL2018Final

DHONI 7 no. JERSY BUY HERE

https://t.co/UE60NKE0GT

#IPL #srh #CSKvsSRH #ChennaiSuperKings #Dhoni… https://t.co/ck36ZDlZwP",-2.96,Negative
202,MS Dhoni,I think There will be no need of #MSDhoni . @ShaneRWatson33 will itself finished the game . #YellowArmy #CSKvSRH… https://t.co/j7O4btTVAz,-2.96,Negative
203,MS Dhoni,"RT @koenamitra: Wicked pic 😍❤️ . 
The final destination of #IPL2018! #CSKvSRH 
Nail bitting thriller tonight ....yay ! #Dhoni 🙌  #YelloveFi…",-5.550000000000001,Negative
222,MS Dhoni,RT @ITGDsports: #IPL2018Final #CSKvsSRH @msdhoni is on a record-breaking spree this year! @ChennaiIPL https://t.co/X0LKLaMLQX,0.0,Neutral
234,MS Dhoni,#IPL2018Final Congratulation @ChennaiIPL  For Winning IPL 2018. @msdhoni 🏆🏆,8.074,Positive
260,MS Dhoni,RT @Harneetsin: TV off. Can’t take the stress. Pls make my CSK win. See you when MahiMan @msdhoni is holding the trophy. Tab tak dua mein m…,3.182,Positive
306,MS Dhoni,Dhoni lifts the cup #IPL2018Final,0.0,Neutral
312,MS Dhoni,Now it's 53 from 43 easy still raydu and dhoni waiting #CSKvSRH #SRHvsCSK #IPL2018Final,4.404,Positive
321,MS Dhoni,"Almost Game over
Miracle should happen For @SunRisers to win 😂
Congratulations @ChennaiIPL 👌
Congratulations @msdhoni ❤
#IPL2018Final",9.445,Positive
400,MS Dhoni,Adra adra adra... Sema #ShaneWatson ... #ThalaDhoni ku velai illama mudichitu ponga boss'u #CSKvSRH #IPL2018Final,0.0,Neutral
474,MS Dhoni,"RT @SunoBawal: Dhoni haters Bhaiya,

Time is lost
Ghar Wapasi kar lo 😂😂😂

# IPL2018Final #CskvsSRH",-6.705,Negative
487,MS Dhoni,RT @exo_chanluv: #ChennaiSuperKings #CSK #IPL2018Final #EXO @weareoneEXO #Dhoni https://t.co/FVfyaf5wMf,0.0,Neutral
515,MS Dhoni,Seems like Salman will go home after meeting Dhoni after match 😃 Wish to see csk win n Salman Mahi bonding pics 😍 #IPL2018Final,8.402,Positive
607,MS Dhoni,"Watching #IPL2018Final. #Dhoni is not sitting at his usual place in dugout, but seen restlessly walking inside pavi… https://t.co/yqCkLr1rdu",-4.767,Negative
656,MS Dhoni,"**Meanwhile in dressing room**

Dhoni: if a wicket falls down,I think I should go..

Coach : But rayudu has padded… https://t.co/98yEzUe6eK",0.0,Neutral
665,MS Dhoni,Watson... makes up for the 0 in 10 balls and how.... #CSKvSRH #IPL2018Final #Dhoni,0.0,Neutral
675,MS Dhoni,"@SPFleming7  @mhussey393 If the wicket goes now , please send @msdhoni to finish the innings @ChennaiIPL #IPL2018Final #CSKvSRH #WhistlePodu",3.182,Positive
685,MS Dhoni,RT @jigisays: Seems like Salman will go home after meeting Dhoni after match 😃 Wish to see csk win n Salman Mahi bonding pics 😍 #IPL2018Fin…,8.402,Positive
707,MS Dhoni,end mei dhoni bhai ayenge 6 maarke jitayenge🙏🏻🙏🏻 #dhoni # IPL2018Final,0.0,Neutral
724,MS Dhoni,History will repeat all because of #MSDhoni so don't miss that moment. Today people will get another reason to cele… https://t.co/0vtHKY56hx,1.833,Positive
743,MS Dhoni,"RT @CharacterFREAK: Almost Game over
Miracle should happen For @SunRisers to win 😂
Congratulations @ChennaiIPL 👌
Congratulations @msdhoni ❤…",9.445,Positive
746,MS Dhoni,"Dhoni is playing in body of Watson

 #IPL2018Final",2.023,Positive
777,MS Dhoni,That's it.. someone ask Rajeev Shukla to go to #CSK dressing room and hand over the trophy to Dhoni.. might as well… https://t.co/ObvTkJwb76,4.939,Positive
875,MS Dhoni,"RT @VlCKY_264: **Meanwhile in dressing room**

Dhoni: if a wicket falls down,I think I should go..

Coach : But rayudu has padded up alread…",0.0,Neutral
994,MS Dhoni,"RT @Dhoni_SRK: RT for CSK
Fav for SRH

#CSKvSRH 
#IPL2018Final",4.588,Positive
1031,MS Dhoni,"Watt लगादी Australian Son ने 🤗
What a Innings s. Watson ✌️
#IPL2018Final #CSKvSRH @ShaneRWatson33 @CricketAus 
@msdhoni",0.0,Neutral
1047,MS Dhoni,Ahha!!! #CSK again on its way for another #IPL win💃💃😍 #IPL2018Final #CSKvSRH #MSDhoni,0.0,Neutral
1116,MS Dhoni,#IPL2018Final  Dhoni is the best captain ever,6.369,Positive
1133,MS Dhoni,https://t.co/E7NWaONcjW #CSKvSRH #CSK #IPLFinal #IPL2018Final #Dhoni,0.0,Neutral
1140,MS Dhoni,@ChennaiIPL @ImRaina @msdhoni @DJBravo47 @faf1307 @RayuduAmbati @imjadeja #KentCricketLIVE #IPL2018Final… https://t.co/EP1THlP2Ko,0.0,Neutral
1143,MS Dhoni,"Watson hits 3 sixes and 2 boundaries.

#CSK needs from 42 balls.

Surely a Cup for MS Dhoni.

#CSKvSRH… https://t.co/TFn0XQ110H",4.404,Positive
1161,MS Dhoni,"Watson is knocking ~ Dhoni

# IPL2018Final
#CSKvSRH
#SRHvCSK",0.0,Neutral
1174,MS Dhoni,"can @msdhoni do it  #CSKvsSRH #IPL2018Final
#HonestTwitter https://t.co/RgkpZceEYJ",0.0,Neutral
1286,MS Dhoni,Indians have already started calculating the chances of Dhoni finishing the match in his very own style. #IPL2018Final,2.023,Positive
1311,MS Dhoni,RT @Sivakumar_king: #IPL2018Final  Dhoni is the best captain ever,6.369,Positive
1329,MS Dhoni,"@msdhoni and Co. on route to @IPL trophy. 

#IPL2018Final #CSKvsSRH",0.0,Neutral
1331,MS Dhoni,"Dhoni is playing in Watson’s Body!!

 #IPL2018Final",3.365,Positive
1336,MS Dhoni,"RT @jigisays: Salman about MSD- Thing I love most about Dhoni is that after doing stumping he never celebrate, he just go back to his gentl…",2.964,Positive
1365,MS Dhoni,"Dhoni is upset with Watson, because he can't win the final with his signature shot. 🤣🤣
#VIVOIPL #IPL2018Final #CSKvSRH",-6.879999999999999,Negative
1417,MS Dhoni,"Watson making sure that Dhoni doesn't finish off in style this Final.
#IPL2018Final",3.182,Positive
1431,MS Dhoni,"The one-sided #IPL2018Final is proving the point again. There is no way in hell Watson, Faf, Raina, Rayudu, Dhoni,… https://t.co/4sLArmefnM",-7.7829999999999995,Negative
1433,MS Dhoni,RT @bhaiyyajispeaks: Indians have already started calculating the chances of Dhoni finishing the match in his very own style. #IPL2018Final,2.023,Positive
1445,MS Dhoni,#IPL2018Final #CSKvSRH  @msdhoni is going to retired from @IPL today after lifting the cup...,0.0,Neutral
1458,MS Dhoni,"Watson hits 3 sixes and 2 boundaries.

#CSK needs 48 from 42 balls.

Surely a Cup for MS Dhoni.

#CSKvSRH… https://t.co/YdoTDaDkOI",4.404,Positive
1480,MS Dhoni,"3 TIME CHAMPION DAW "" GUYS BE READY...WE ARE HEADING
#CSKvsSRH  #IPL2018Final ts 👏👏👏 @ChennaiIPL #Dhoni… https://t.co/43l6SvB4Hs",6.841,Positive
1496,MS Dhoni,"#SRHvsKKR
#IPL
#SRHvKKR
#IPLFinal
#SRH
#KKRvsSRH
# IPLT20
#Chennai
#Dhoni
# IPL2018Final
#TrendingTopics

Dainik Bhas ... https://t.co/RE1A3u2kgY",0.0,Neutral
1501,MS Dhoni,RT @behindwoods: https://t.co/E7NWaONcjW #CSKvSRH #CSK #IPLFinal #IPL2018Final #Dhoni,0.0,Neutral
1543,MS Dhoni,"After winning this #IPL2018Final by #CSK ... Dhoni haters will say :- ""Match was Fixed"".... 🤣🤣🤣🤣 They are such a bunch of Halfwits... 😅😅😅😅😅",0.516,Positive
1560,MS Dhoni,RT @KaabiraSpeaking: Even Sunday is slower than dhoni's stumping. #IPL2018Final,0.0,Neutral
1578,MS Dhoni,Hyderabad #IPL2018Final #CSKvsSRH bye 👋 it’s Dhoni time 🤘🏻🤘🏻🤘🏻🤘🏻,0.0,Neutral
1584,MS Dhoni,"@TecnoMobileInd #WinWithTecno #IPL2018Final #CSKvSRH #Contest #ContestAlert

MY FOCUS PLAYER IS M. S. DHONI
Spottin… https://t.co/GBP1PUCIDO",0.0,Neutral
1605,MS Dhoni,#IPL2018Final will miss Dhoni finish,-1.5310000000000001,Negative
